,product_id,product_category
0,7824,accessories
1,5557,sports
2,2225,electronics
3,7855,footwear
4,7789,sports
5,2796,beauty
6,6012,accessories
7,4248,beauty
8,3966,fashion
9,7180,electronics
10,4154,home decor
11,3868,fashion
12,2200,footwear
13,5734,footwear
14,4281,electronics
15,7035,accessories
16,1943,home decor
17,6898,accessories
18,1590,footwear
19,7239,fashion
20,2162,beauty
21,5316,sports
22,1487,accessories
23,1294,sports
24,1384,footwear
25,5671,accessories
26,1558,fashion
27,6978,electronics
28,5066,electronics
29,6255,home decor
30,7219,footwear
31,7269,accessories
32,5443,footwear
33,4887,footwear
34,1466,accessories
35,4548,footwear
36,5085,fashion
37,7249,fashion
38,5969,electronics
39,5049,sports
40,7525,fashion
41,3273,fashion
42,5498,beauty
43,1087,home decor
44,7369,footwear
45,7111,home decor
46,3369,beauty
47,6983,accessories
48,6959,electronics
49,6228,electronics
50,5476,home decor
51,3996,fashion
52,4272,fashion
53,7518,footwear
54,1796,electronics
55,2094,electronics
56,4460,accessories
57,6279,beauty
58,6479,sports
59,5866,home decor
60,7665,beauty
61,3676,home decor
62,3908,sports
63,3988,sports
64,4666,beauty
65,5440,fashion
66,1485,footwear
67,4757,electronics
68,6961,accessories
69,4210,accessories
70,7349,accessories
71,2714,electronics
72,7762,sports
73,2490,fashion
74,3177,fashion
75,6749,sports
76,5700,electronics
77,5177,home decor
78,5205,sports
79,1009,fashion
80,4767,beauty
81,3789,sports
82,2422,electronics
83,1725,sports
84,7682,beauty
85,2493,electronics
86,3708,accessories
87,2438,home decor
88,2724,fashion
89,6247,fashion
90,2505,fashion
91,4525,footwear
92,7412,footwear
93,5519,accessories
94,4598,footwear
95,5826,footwear
96,5987,sports
97,5538,fashion
98,7366,footwear
99,4951,home decor
100,1425,sports
101,1662,home decor
102,3879,electronics
103,3413,home decor
104,4170,fashion
105,7453,beauty
106,2543,home decor
107,3144,sports
108,1582,footwear
109,6091,home decor
110,4562,footwear
111,5492,accessories
112,7313,home decor
113,2182,accessories
114,3060,accessories
115,2826,accessories
116,6425,home decor
117,1326,home decor
118,7549,beauty
119,5007,beauty
120,2971,accessories
121,4208,sports
122,4999,fashion
123,3530,beauty
124,5610,electronics
125,3068,footwear
126,4965,home decor
127,3296,home decor
128,4660,sports
129,7496,beauty
130,3979,electronics
131,3313,home decor
132,2763,fashion
133,5497,electronics
134,2758,home decor
135,3796,footwear
136,6376,sports
137,1926,fashion
138,4993,footwear
139,1549,sports
140,7838,sports
141,7731,beauty
142,2962,electronics
143,2066,footwear
144,1955,accessories
145,3873,beauty
146,2739,fashion
147,4076,sports
148,6161,beauty
149,4515,fashion
150,7027,footwear
151,4469,electronics
152,1565,beauty
153,2058,footwear
154,3427,home decor
155,1528,home decor
156,5482,accessories
157,7216,footwear
158,7075,footwear
159,5038,footwear
160,5415,footwear
161,3899,electronics
162,2980,electronics
163,4069,fashion
164,2355,electronics
165,3054,sports
166,2500,sports
167,3933,footwear
168,5413,sports
169,4705,sports
170,4089,electronics
171,4841,electronics
172,1687,fashion
173,5106,home decor
174,2817,footwear
175,6757,home decor
176,6266,fashion
177,1954,electronics
178,5837,electronics
179,6715,fashion
180,4589,electronics
181,5216,beauty
182,2088,electronics
183,3355,footwear
184,1769,electronics
185,4301,fashion
186,3088,home decor
187,4901,electronics
188,6207,beauty
189,7888,footwear
190,3853,footwear
191,7874,beauty
192,6405,beauty
193,3173,beauty
194,5744,sports
195,1612,footwear
196,3319,home decor
197,2883,sports
198,1843,footwear
199,5088,footwear
200,2948,footwear
201,6490,footwear
202,7834,footwear
203,1212,electronics
204,1656,electronics
205,4744,sports
206,6921,footwear
207,2113,home decor
208,7645,footwear
209,1913,accessories
210,2637,accessories
211,2624,home decor
212,7066,accessories
213,1225,home decor
214,5731,sports
215,5145,fashion
216,5655,electronics
217,6420,footwear
218,3126,sports
219,6974,sports
220,2580,accessories
221,1837,footwear
222,1870,home decor
223,4873,sports
224,2978,sports
225,5729,beauty
226,7590,home decor
227,2622,fashion
228,4662,electronics
229,6761,fashion
230,7949,home decor
231,5952,fashion
232,6099,sports
233,4911,fashion
234,4643,beauty
235,3634,home decor
236,1540,footwear
237,5155,footwear
238,6188,sports
239,6796,fashion
240,5691,sports
241,5875,footwear
242,6118,footwear
243,1340,beauty
244,2700,sports
245,2721,electronics
246,3614,accessories
247,2393,accessories
248,2556,beauty
249,6595,beauty
250,4956,home decor
251,7535,home decor
252,2374,electronics
253,4906,sports
254,6306,electronics
255,7268,fashion
256,5014,fashion
257,5436,home decor
258,3745,electronics
259,1624,electronics
260,5249,accessories
261,2548,home decor
262,4585,footwear
263,1240,fashion
264,3208,home decor
265,7174,home decor
266,2600,sports
267,7325,sports
268,5710,home decor
269,7772,home decor
270,7286,electronics
271,6459,sports
272,2203,sports
273,4398,beauty
274,1099,home decor
275,2194,accessories
276,6899,beauty
277,7660,home decor
278,7122,footwear
279,2157,accessories
280,4588,accessories
281,5524,sports
282,5646,footwear
283,1238,electronics
284,7981,accessories
285,5853,home decor
286,4461,footwear
287,2866,home decor
288,2498,home decor
289,7671,beauty
290,5972,beauty
291,3005,home decor
292,5255,electronics
293,2304,fashion
294,6969,fashion
295,5178,sports
296,4549,electronics
297,6666,sports
298,2709,footwear
299,2983,home decor
300,7965,home decor
301,5122,sports
302,3513,home decor
303,2036,electronics
304,2899,footwear
305,3462,beauty
306,3498,sports
307,5126,sports
308,7359,beauty
309,1189,footwear
310,6412,fashion
311,3709,beauty
312,2376,beauty
313,4756,sports
314,3917,accessories
315,7205,home decor
316,2641,beauty
317,1205,accessories
318,4195,sports
319,3574,beauty
320,3551,electronics
321,5892,home decor
322,5633,sports
323,3837,electronics
324,6763,electronics
325,3744,sports
326,4140,sports
327,3075,accessories
328,3174,electronics
329,2520,sports
330,3594,electronics
331,5511,fashion
332,3221,home decor
333,4351,fashion
334,6213,accessories
335,5424,electronics
336,1894,accessories
337,2711,sports
338,3997,beauty
339,6269,sports
340,5964,sports
341,7358,electronics
342,6596,electronics
343,6240,footwear
344,5044,home decor
345,4423,accessories
346,5921,electronics
347,4179,home decor
348,4273,footwear
349,2706,beauty
350,7511,beauty
351,2413,accessories
352,6844,beauty
353,7018,fashion
354,1596,beauty
355,4795,home decor
356,3417,electronics
357,3730,beauty
358,6409,beauty
359,5354,accessories
360,6292,accessories
361,2836,home decor
362,4175,sports
363,5478,sports
364,5772,fashion
365,5916,beauty
366,7532,home decor
367,5913,home decor
368,7090,electronics
369,1959,home decor
370,5207,home decor
371,1007,footwear
372,4112,beauty
373,3558,home decor
374,6141,accessories
375,7751,fashion
376,1794,sports
377,5153,beauty
378,7302,sports
379,5666,beauty
380,2795,sports
381,4502,accessories
382,7246,fashion
383,6853,sports
384,6492,home decor
385,4424,electronics
386,1862,footwear
387,5923,electronics
388,3520,accessories
389,7135,accessories
390,3297,fashion
391,5080,accessories
392,1574,electronics
393,6008,fashion
394,7904,fashion
395,7238,accessories
396,7755,electronics
397,6485,accessories
398,2770,sports
399,5112,sports
400,3953,sports
401,7258,sports
402,5399,electronics
403,5501,accessories
404,7463,fashion
405,6854,beauty
406,5509,fashion
407,7130,fashion
408,4859,beauty
409,6645,home decor
410,3318,home decor
411,6884,sports
412,7442,accessories
413,5408,electronics
414,6556,footwear
415,7439,footwear
416,6214,beauty
417,6348,footwear
418,1918,footwear
419,5459,home decor
420,6113,electronics
421,3765,footwear
422,7365,home decor
423,4311,accessories
424,5295,fashion
425,5075,fashion
426,3590,fashion
427,6391,fashion
428,3101,fashion
429,5966,sports
430,6527,sports
431,5628,sports
432,1327,beauty
433,5421,beauty
434,4213,sports
435,1630,home decor
436,6789,electronics
437,5358,accessories
438,7403,accessories
439,6496,home decor
440,2816,sports
441,7040,electronics
442,2426,sports
443,4242,sports
444,3397,footwear
445,6916,accessories
446,5578,accessories
447,5768,accessories
448,6927,beauty
449,6629,accessories
450,5566,home decor
451,2727,footwear
452,1100,home decor
453,7774,beauty
454,5393,accessories
455,6939,sports
456,5445,beauty
457,7991,footwear
458,1800,sports
459,5442,footwear
460,4465,beauty
461,1062,home decor
462,5093,fashion
463,2491,electronics
464,5238,sports
465,6861,sports
466,2294,sports
467,7974,fashion
468,1942,beauty
469,5496,home decor
470,2277,footwear
471,4376,footwear
472,7644,accessories
473,4293,sports
474,4737,footwear
475,2903,accessories
476,3392,home decor
477,2452,electronics
478,6072,fashion
479,1437,electronics
480,4066,footwear
481,6696,beauty
482,2009,accessories
483,4134,footwear
484,7681,fashion
485,4778,fashion
486,2268,footwear
487,5154,beauty
488,2657,accessories
489,5394,home decor
490,2143,electronics
491,3186,sports
492,7574,beauty
493,1923,fashion
494,4867,fashion
495,5317,footwear
496,1418,beauty
497,3438,accessories
498,6216,fashion
499,4055,footwear
500,4610,beauty
501,1092,accessories
502,3970,fashion
503,2897,sports
504,2118,fashion
505,7318,fashion
506,5740,footwear
507,7692,sports
508,4092,fashion
509,6465,footwear
510,3677,fashion
511,6354,sports
512,4881,electronics
513,2342,fashion
514,5438,electronics
515,3175,sports
516,6298,accessories
517,3466,fashion
518,1393,fashion
519,6728,footwear
520,4871,electronics
521,3281,accessories
522,5132,electronics
523,7614,accessories
524,7080,accessories
525,3576,fashion
526,1365,accessories
527,7691,sports
528,5250,footwear
529,1047,electronics
530,7310,electronics
531,7565,footwear
532,1909,fashion
533,2475,accessories
534,3015,beauty
535,6588,footwear
536,6930,electronics
537,2649,electronics
538,2409,fashion
539,3937,fashion
540,4160,accessories
541,1421,sports
542,5794,home decor
543,3735,accessories
544,3381,sports
545,3219,home decor
546,6650,beauty
547,6003,fashion
548,3107,beauty
549,6790,sports
550,7689,accessories
551,6014,beauty
552,3504,beauty
553,6903,beauty
554,5823,footwear
555,1286,accessories
556,2974,fashion
557,2908,electronics
558,6289,home decor
559,4350,sports
560,2701,sports
561,3915,electronics
562,6471,fashion
563,4583,sports
564,4317,home decor
565,6369,sports
566,2406,accessories
567,1509,fashion
568,7632,footwear
569,1921,footwear
570,6378,fashion
571,4072,fashion
572,2996,electronics
573,7362,sports
574,2457,fashion
575,3586,beauty
576,5395,accessories
577,7485,beauty
578,1714,home decor
579,4726,beauty
580,2117,home decor
581,6329,electronics
582,5139,electronics
583,1471,accessories
584,2375,accessories
585,3261,beauty
586,4268,sports
587,5420,fashion
588,2685,fashion
589,1880,sports
590,5018,home decor
591,6525,home decor
592,6510,fashion
593,5657,footwear
594,2276,beauty
595,7069,sports
596,3772,footwear
597,7114,electronics
598,4913,electronics
599,7769,fashion
600,7795,footwear
601,4005,fashion
602,4428,accessories
603,1726,fashion
604,1716,footwear
605,6698,sports
606,7085,accessories
607,2629,sports
608,4624,sports
609,7850,sports
610,1385,footwear
611,2848,sports
612,2338,home decor
613,7045,electronics
614,1188,beauty
615,5955,home decor
616,4760,electronics
617,1688,home decor
618,3791,footwear
619,3017,accessories
620,3910,beauty
621,1144,sports
622,7856,footwear
623,1531,sports
624,2356,home decor
625,3010,electronics
626,3171,footwear
627,6891,fashion
628,2626,accessories
629,7215,electronics
630,1447,footwear
631,3696,home decor
632,1724,sports
633,1802,footwear
634,7524,home decor
635,1155,home decor
636,7810,electronics
637,7321,fashion
638,6804,accessories
639,6601,accessories
640,1269,home decor
641,4612,fashion
642,7253,footwear
643,1315,accessories
644,6276,footwear
645,5152,home decor
646,5341,home decor
647,7008,accessories
648,1828,fashion
649,5308,electronics
650,4771,sports
651,5208,footwear
652,1321,sports
653,6170,fashion
654,1521,sports
655,3903,home decor
656,4674,accessories
657,1050,footwear
658,3290,sports
659,1351,accessories
660,5588,sports
661,4030,home decor
662,3483,home decor
663,3283,home decor
664,4811,sports
665,3360,beauty
666,3900,beauty
667,1853,electronics
668,5822,accessories
669,4083,footwear
670,5556,sports
671,7945,beauty
672,6592,accessories
673,3497,footwear
674,5520,accessories
675,7652,beauty
676,5789,electronics
677,4959,accessories
678,7494,sports
679,1975,home decor
680,3509,electronics
681,6984,home decor
682,2798,fashion
683,2957,electronics
684,3835,sports
685,1899,accessories
686,1010,sports
687,5869,beauty
688,1241,footwear
689,3694,footwear
690,3077,fashion
691,1539,beauty
692,3405,beauty
693,2762,sports
694,4639,electronics
695,2152,home decor
696,3391,accessories
697,4387,fashion
698,1431,accessories
699,1027,beauty
700,1182,accessories
701,7480,home decor
702,3135,accessories
703,5894,beauty
704,4987,footwear
705,2466,footwear
706,6660,fashion
707,2869,footwear
708,3473,beauty
709,5799,home decor
710,4963,footwear
711,1665,beauty
712,6608,home decor
713,4967,footwear
714,1235,accessories
715,6775,beauty
716,2443,sports
717,6404,home decor
718,4418,accessories
719,4679,footwear
720,1410,electronics
721,1266,footwear
722,7828,fashion
723,4271,electronics
724,3999,home decor
725,3736,home decor
726,7964,electronics
727,3410,footwear
728,3371,footwear
729,6555,fashion
730,2144,fashion
731,4275,accessories
732,5767,accessories
733,3234,electronics
734,7859,sports
735,5850,sports
736,6823,beauty
737,7967,electronics
738,1920,footwear
739,2751,home decor
740,5179,sports
741,5401,electronics
742,5329,home decor
743,2030,beauty
744,5722,home decor
745,5613,electronics
746,5306,home decor
747,2587,electronics
748,7801,footwear
749,3794,fashion
750,1622,beauty
751,6385,sports
752,2878,home decor
753,5116,accessories
754,2006,beauty
755,7005,beauty
756,4724,home decor
757,5033,sports
758,3301,sports
759,6697,home decor
760,3850,home decor
761,3927,fashion
762,3145,footwear
763,1232,beauty
764,5553,electronics
765,6912,accessories
766,6271,footwear
767,6076,sports
768,4564,accessories
769,6926,electronics
770,1737,footwear
771,4609,home decor
772,5862,accessories
773,6929,electronics
774,3854,sports
775,4652,sports
776,2861,beauty
777,4935,fashion
778,6416,fashion
779,7815,accessories
780,7663,accessories
781,7161,home decor
782,5793,sports
783,4957,electronics
784,3688,footwear
785,6783,beauty
786,3222,electronics
787,1848,beauty
788,3622,sports
789,1025,fashion
790,1113,electronics
791,6341,fashion
792,6220,sports
793,4494,electronics
794,7166,sports
795,5441,home decor
796,2028,electronics
797,5109,footwear
798,2122,footwear
799,5351,fashion
800,1735,beauty
801,5547,fashion
802,1533,home decor
803,6664,beauty
804,4852,home decor
805,1429,footwear
806,5296,home decor
807,1953,electronics
808,7251,home decor
809,5507,accessories
810,5224,sports
811,3950,electronics
812,4472,beauty
813,4531,sports
814,4382,sports
815,2982,electronics
816,3166,beauty
817,2244,fashion
818,6943,sports
819,2612,sports
820,5212,footwear
821,4127,footwear
822,6865,sports
823,5220,accessories
824,7168,fashion
825,5503,beauty
826,6004,accessories
827,7236,footwear
828,7301,accessories
829,2242,fashion
830,4590,home decor
831,5236,fashion
832,6730,accessories
833,1709,footwear
834,2557,beauty
835,1826,electronics
836,3445,accessories
837,6649,fashion
838,6167,sports
839,4110,home decor
840,5260,sports
841,5543,accessories
842,3929,footwear
843,1492,accessories
844,5541,beauty
845,5763,fashion
846,7026,beauty
847,7683,sports
848,6335,accessories
849,6150,fashion
850,7640,electronics
851,2279,beauty
852,4255,beauty
853,5508,footwear
854,1900,beauty
855,2654,accessories
856,2916,home decor
857,3476,sports
858,4656,beauty
859,7558,home decor
860,5986,beauty
861,3703,footwear
862,6075,beauty
863,3768,fashion
864,6311,beauty
865,7449,fashion
866,5242,home decor
867,6162,fashion
868,3020,electronics
869,1364,footwear
870,6722,home decor
871,6454,sports
872,6300,footwear
873,4246,footwear
874,1056,fashion
875,3312,fashion
876,1654,fashion
877,3795,accessories
878,2562,sports
879,2196,accessories
880,3036,footwear
881,5101,sports
882,4622,beauty
883,3063,accessories
884,5863,home decor
885,7962,footwear
886,4868,footwear
887,3272,electronics
888,2105,footwear
889,5352,beauty
890,5997,fashion
891,4603,sports
892,4173,beauty
893,7225,footwear
894,1637,beauty
895,4014,home decor
896,5644,accessories
897,6583,accessories
898,1461,beauty
899,4021,accessories
900,6507,sports
901,7797,footwear
902,7208,accessories
903,6431,beauty
904,5000,beauty
905,2370,electronics
906,7905,sports
907,3425,sports
908,4475,electronics
909,3437,electronics
910,4968,fashion
911,1520,accessories
912,5150,home decor
913,5127,accessories
914,3912,sports
915,3577,sports
916,3852,electronics
917,4262,beauty
918,3834,fashion
919,5448,accessories
920,7276,sports
921,3187,accessories
922,7592,electronics
923,3245,accessories
924,6328,fashion
925,1391,sports
926,7788,beauty
927,2819,home decor
928,6582,accessories
929,6947,beauty
930,2115,accessories
931,1343,home decor
932,7233,sports
933,6191,home decor
934,1354,home decor
935,4151,accessories
936,7726,accessories
937,5624,footwear
938,3610,electronics
939,4510,sports
940,6218,footwear
941,6439,sports
942,7842,beauty
943,3630,home decor
944,1834,sports
945,1017,accessories
946,6786,fashion
947,4280,sports
948,1159,beauty
949,5170,accessories
950,4787,home decor
951,1675,footwear
952,1075,home decor
953,4386,footwear
954,3259,beauty
955,4753,beauty
956,1322,home decor
957,7430,electronics
958,7739,sports
959,5839,sports
960,7506,accessories
961,7830,home decor
962,5343,footwear
963,1681,fashion
964,1138,sports
965,6868,sports
966,3216,footwear
967,5899,footwear
968,5730,sports
969,4159,electronics
970,6627,beauty
971,6518,footwear
972,3872,home decor
973,1284,footwear
974,3874,home decor
975,1296,fashion
976,3901,beauty
977,5136,electronics
978,3298,accessories
979,3295,fashion
980,2405,fashion
981,5051,sports
982,4946,sports
983,7054,footwear
984,2742,sports
985,4203,home decor
986,1755,sports
987,3078,footwear
988,5828,beauty
989,2821,fashion
990,7588,beauty
991,7596,home decor
992,4676,home decor
993,2480,fashion
994,4341,electronics
995,5599,fashion
996,6163,home decor
997,7673,accessories
998,2968,home decor
999,4664,accessories
1000,1441,sports
1001,2788,accessories
1002,6957,electronics
1003,6396,accessories
1004,6880,beauty
1005,7837,sports
1006,3857,fashion
1007,7507,home decor
1008,1347,electronics
1009,3660,accessories
1010,1812,footwear
1011,1532,fashion
1012,5032,home decor
1013,7440,electronics
1014,2603,beauty
1015,4812,electronics
1016,7892,home decor
1017,4183,beauty
1018,6765,fashion
1019,4136,electronics
1020,3787,fashion
1021,1253,sports
1022,6353,beauty
1023,3978,accessories
1024,3155,footwear
1025,1063,home decor
1026,5311,beauty
1027,3646,home decor
1028,1089,accessories
1029,1545,sports
1030,6364,electronics
1031,7579,sports
1032,6911,footwear
1033,7653,footwear
1034,6797,footwear
1035,2888,home decor
1036,5535,footwear
1037,4088,beauty
1038,5576,accessories
1039,7379,home decor
1040,5750,footwear
1041,7498,fashion
1042,6477,sports
1043,5844,beauty
1044,2250,accessories
1045,6663,fashion
1046,7545,accessories
1047,6230,accessories
1048,2273,fashion
1049,2167,beauty
1050,4928,electronics
1051,7404,home decor
1052,4215,accessories
1053,1107,sports
1054,6455,beauty
1055,1522,accessories
1056,4522,home decor
1057,4892,home decor
1058,6435,home decor
1059,3255,sports
1060,1518,home decor
1061,1731,accessories
1062,4954,fashion
1063,2890,fashion
1064,1030,accessories
1065,2256,beauty
1066,4018,accessories
1067,1064,sports
1068,1060,fashion
1069,5792,home decor
1070,1093,fashion
1071,4677,electronics
1072,2824,home decor
1073,3505,electronics
1074,2206,fashion
1075,2003,sports
1076,6869,fashion
1077,1298,footwear
1078,7083,home decor
1079,1617,fashion
1080,7263,accessories
1081,1496,fashion
1082,4685,sports
1083,1222,beauty
1084,6380,home decor
1085,3366,fashion
1086,3004,sports
1087,5945,beauty
1088,2155,electronics
1089,3993,home decor
1090,2683,accessories
1091,6685,electronics
1092,7382,accessories
1093,1076,accessories
1094,5258,home decor
1095,1416,sports
1096,7948,beauty
1097,3275,electronics
1098,5232,footwear
1099,1537,sports
1100,7296,fashion
1101,7231,beauty
1102,4741,footwear
1103,7697,accessories
1104,4147,home decor
1105,1250,accessories
1106,4470,accessories
1107,7867,fashion
1108,4802,beauty
1109,6212,electronics
1110,7465,fashion
1111,2634,beauty
1112,5873,footwear
