,order_id,year,month,day,customer_id,product_id,product_price,discount_percent,is_returned,rating,shipping_cost,payment_method_id,traffic_source_id,revenue,profit
0,1,2023,4,13,14958,7824,143.39,40,0,2.0,21.08,1,1,86.03,64.95
1,2,2024,3,11,26825,5557,746.49,15,0,3.7,5.48,2,2,2538.08,2532.6
2,3,2025,5,10,37450,2225,641.06,5,0,3.2,11.27,3,1,3045.05,3033.78
3,4,2023,9,28,20691,7855,512.39,0,0,1.1,19.22,3,3,1537.17,1517.95
4,5,2023,4,17,24631,7789,415.89,25,0,4.1,24.94,4,4,935.76,910.82
5,6,2023,3,13,29596,2796,444.14,0,0,2.6,20.29,3,4,2220.7,2200.41
6,7,2024,12,1,11896,6012,244.18,15,0,1.4,23.91,4,4,207.55,183.64
7,8,2023,1,21,43857,4248,457.16,25,0,3.0,4.17,3,2,342.87,338.7
8,9,2024,9,6,10308,3966,394.28,15,0,4.9,18.09,5,3,335.14,317.05
9,10,2023,5,2,35168,7180,363.69,30,1,2.4,23.8,3,4,509.16,485.36
10,11,2024,4,11,38419,4154,55.37,25,0,2.5,14.39,3,5,83.06,68.67
11,12,2023,8,3,42637,3868,495.63,25,0,1.3,10.7,4,4,371.72,361.02
12,13,2023,11,27,14493,2200,129.74,30,0,2.4,20.79,4,1,454.1,433.31
13,14,2024,4,3,22756,5734,374.59,20,0,2.2,8.57,4,2,1198.68,1190.11
14,15,2023,3,29,39288,4281,235.25,10,1,2.7,2.58,2,1,423.44,420.86
15,16,2024,1,8,22384,7035,719.96,10,1,3.6,20.44,1,4,647.96,627.52
16,17,2023,4,10,49852,1943,536.81,40,0,1.5,23.75,4,4,322.09,298.34
17,18,2025,5,21,25195,6898,223.74,0,0,1.4,14.83,1,1,1118.7,1103.87
18,19,2024,10,25,30674,1590,739.76,5,0,3.6,6.63,2,5,2108.31,2101.68
19,20,2023,5,11,44125,7239,451.59,5,0,4.4,22.36,5,3,1716.04,1693.68
20,21,2024,10,23,10082,2162,341.89,25,0,1.1,13.83,5,4,512.84,499.01
21,22,2023,11,5,18442,5316,149.78,10,0,1.3,15.98,1,1,269.6,253.62
22,23,2025,2,8,19285,1487,264.47,0,1,4.8,6.68,2,3,793.41,786.73
23,24,2023,12,10,48179,1294,38.01,25,0,3.0,24.44,3,1,142.55,118.11
24,25,2024,5,6,27792,1384,353.15,25,0,4.8,4.55,1,2,1324.3,1319.75
25,26,2024,2,18,25500,5671,165.85,40,1,1.6,5.78,2,4,497.55,491.77
26,27,2025,3,16,19290,1558,248.66,40,0,2.6,14.87,5,1,447.6,432.73
27,28,2024,1,21,46496,6978,692.44,30,0,4.3,11.58,1,2,1454.13,1442.55
28,29,2023,7,11,15294,5066,273.8,20,0,4.5,7.4,2,5,438.08,430.68
29,30,2023,10,4,10322,6255,649.13,25,0,4.6,2.94,3,1,973.7,970.76
30,31,2023,6,10,25836,7219,696.42,25,0,1.2,15.1,4,2,2089.24,2074.14
31,32,2024,4,4,44825,7269,341.45,30,0,4.7,20.62,1,3,239.02,218.4
32,33,2023,11,10,45828,5443,776.69,25,0,4.8,20.19,3,3,582.52,562.33
33,34,2023,1,22,30084,4887,330.32,15,0,1.5,10.72,5,2,1123.08,1112.36
34,35,2023,9,10,48403,1466,652.36,15,0,1.5,11.98,1,3,554.51,542.53
35,36,2025,1,17,13384,4548,762.34,40,0,4.9,5.48,3,2,2287.0,2281.52
36,37,2025,5,6,19453,5085,12.07,40,0,1.8,15.47,3,3,14.48,-0.99
37,38,2024,7,14,35381,7249,287.63,20,0,2.0,12.47,4,3,1150.5,1138.03
38,39,2024,4,19,46224,5969,616.76,30,1,4.4,19.94,4,1,863.46,843.52
39,40,2023,2,28,13664,5049,664.7,30,0,4.6,23.61,1,5,465.29,441.68
40,41,2024,5,25,45864,7525,682.84,25,1,4.2,10.74,4,3,2048.52,2037.78
41,42,2024,11,12,33812,3273,609.92,20,0,1.7,18.23,4,3,975.88,957.65
42,43,2024,4,20,23871,5498,265.46,30,0,2.6,2.67,1,5,743.28,740.61
